pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_kmag,sy_kmagerr1,sy_kmagerr2
TOI-4010 b,1.34833500000,0.00000300000,-0.00000200000,0,0.0229000000,0.0002000000,-0.0002000000,0,0.26942682,0.00713713,-0.00713713,0,0.03460987,0.00405879,-0.00399587,0,2.200000,0.300000,-0.300000,0,0.030000,0.030000,-0.020000,0,88.10000,1.20000,-1.10000,0,2459007.54900000,0.00100000,-0.00100000,0,0.190000,0.120000,-0.130000,0,,,,,1.7700000,0.0300000,-0.0300000,0,,,,,0.03300000,0.00100000,-0.00100000,0,,,,,0.0000,155.0000,-149.0000,0,,,,,,,,,K V,4960.00,36.00,-36.00,0,0.830000,0.010000,-0.010000,0,0.880000,0.030000,-0.030000,0,0.3700,0.0700,-0.0700,0,[Fe/H],4.540000,0.020000,-0.020000,0,01h20m51.56s,20.2148196,+66d04m19.92s,66.0722009,10.1570000,0.0210000,-0.0210000
TOI-2384 b,2.13570304000,0.00000038000,-0.00000038000,0,0.0279300000,0.0002300000,-0.0002300000,0,1.02500000,0.02100000,-0.02100000,0,1.96600000,0.05900000,-0.05900000,0,2.260000,0.150000,-0.150000,0,0.000000,,,0,88.37000,0.34000,-0.34000,0,2459591.99589000,0.00011700,-0.00011700,0,0.280000,0.046000,-0.060000,0,,,,,1.8910000,0.0120000,-0.0120000,0,9.820000,0.120000,-0.120000,0,0.17230000,0.00240000,-0.00240000,0,,,,,,,,,,,,,,,,,,3943.00,14.00,-14.00,0,0.611300,0.008000,-0.008000,0,0.635000,0.016000,-0.016000,0,0.3320,0.0630,-0.0630,0,[Fe/H],4.660000,0.013000,-0.013000,0,02h24m37.48s,36.1561463,-65d00m00.70s,-65.0001957,11.1190000,0.0230000,-0.0230000
HAT-P-28 b,3.25721500000,0.00000700000,-0.00000700000,0,0.0434000000,0.0007000000,-0.0007000000,0,1.21200000,0.11300000,-0.08200000,0,0.62600000,0.03700000,-0.03700000,0,0.440000,0.090000,-0.090000,0,0.051000,0.033000,-0.033000,0,88.00000,0.90000,-0.90000,0,2455417.59832000,0.00053000,-0.00053000,0,0.299000,0.114000,-0.123000,0,1.47190000,,,0,3.2184000,0.0480000,-0.0480000,0,8.430000,0.570000,-0.570000,0,0.11300000,0.00240000,-0.00240000,0,,,,,233.0000,90.0000,-90.0000,0,,,,,,,,,G3,5680.00,90.00,-90.00,0,1.103000,0.091000,-0.069000,0,1.025000,0.047000,-0.047000,0,0.1200,0.0800,-0.0800,0,[Fe/H],4.360000,0.060000,-0.060000,0,00h52m00.22s,13.0009159,+34d43m42.25s,34.7284020,11.1040000,0.0180000,-0.0180000
NGTS-10 b,0.76689440000,0.00000030000,-0.00000030000,0,0.0143000000,0.0010000000,-0.0010000000,0,1.20500000,0.11700000,-0.08300000,0,2.16200000,0.09200000,-0.10700000,0,1.430000,0.354000,-0.404000,0,0.000000,,,0,,,,,2457518.84377000,0.00017000,-0.00017000,0,0.852300,0.031580,-0.019700,0,,,,,1.0910000,0.0190000,-0.0190000,0,4.447000,0.123000,-0.141000,0,0.17650000,0.01100000,-0.00700000,0,,,,,,,,,,,,,,,,,K5 V,4600.00,150.00,-150.00,0,0.697000,0.036000,-0.036000,0,0.696000,0.040000,-0.040000,0,-0.0200,0.1200,-0.1200,0,[M/H],4.595000,0.019000,-0.019000,0,06h07m29.35s,91.8722801,-25d35m41.63s,-25.5948963,11.7280000,0.0250000,-0.0250000
HD 3167 b,0.95964100000,0.00001100000,-0.00001100000,0,0.0179600000,0.0003700000,-0.0003100000,0,0.14898768,0.01516641,-0.00892142,0,0.01563737,0.00075512,-0.00072366,0,5.600000,1.200000,-1.300000,0,0.000000,,,0,83.40000,4.60000,-7.70000,0,2457394.37454000,0.00043000,-0.00043000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5261.00,60.00,-60.00,0,0.880000,0.012000,-0.013000,0,0.837000,0.053000,-0.043000,0,0.0400,0.0500,-0.0500,0,[Fe/H],,,,,00h34m57.64s,8.7401487,+04d22m50.60s,4.3807215,7.0660000,0.0200000,-0.0200000
KOI-1257 b,86.64766100000,0.00003400000,-0.00003400000,0,0.3820000000,0.0060000000,-0.0060000000,0,0.94000000,0.12000000,-0.12000000,0,1.45000000,0.35000000,-0.35000000,0,2.100000,1.200000,-1.200000,0,0.772000,0.045000,-0.045000,0,89.66000,0.24000,-0.38000,0,2455006.79454000,0.00030000,-0.00030000,0,,,,,,,,,,,,,,,,,,,,,,,,,141.3000,17.0000,-17.0000,0,74.000,32.000,-46.000,0,,,,,G5 V,5520.00,80.00,-80.00,0,1.130000,0.140000,-0.140000,0,0.990000,0.050000,-0.050000,0,0.2700,0.0900,-0.0900,0,[Fe/H],4.320000,0.100000,-0.100000,0,19h24m54.02s,291.2250888,+44d55m38.25s,44.9272918,12.7260000,0.0230000,-0.0230000
Kepler-634 b,5.16950177000,0.00001029000,-0.00001029000,0,,,,,0.16861451,0.02676421,-0.02230351,0,,,,,,,,,,,,,,,,,2455003.31319000,0.00156000,-0.00156000,0,,,,,,,,,4.5070000,0.0482000,-0.0482000,0,,,,,0.01354400,0.00026700,-0.00021400,0,,,,,,,,,,,,,,,,,,6075.00,86.22,-77.53,0,1.240000,0.193000,-0.161000,0,1.030000,0.085000,-0.066000,0,-0.1800,0.1320,-0.1290,0,[Fe/H],4.260000,0.119000,-0.102000,0,19h24m46.82s,291.1950900,+40d42m09.85s,40.7027352,12.1600000,0.0210000,-0.0210000
Kepler-684 b,6.77030200800,0.00000886000,-0.00000886000,0,,,,,0.29975912,0.02676421,-0.02676421,0,,,,,,,,,,,,,,,,,2455003.57697000,0.00103000,-0.00103000,0,,,,,,,,,1.9398000,0.0457000,-0.0457000,0,,,,,0.03594600,0.00025900,-0.00138800,0,,,,,,,,,,,,,,,,,,5493.00,123.67,-118.74,0,0.860000,0.076000,-0.069000,0,0.890000,0.055000,-0.064000,0,-0.1100,0.1610,-0.1940,0,[Fe/H],4.530000,0.048000,-0.088000,0,19h23m28.92s,290.8704935,+38d16m24.95s,38.2735978,13.8280000,0.0490000,-0.0490000
Kepler-393 b,9.18241700000,0.00009600000,-0.00009600000,0,0.0910000000,,,0,0.11500000,0.02200000,-0.02200000,0,,,,,,,,,,,,,,,,,2454967.04813000,0.00560000,-0.00560000,0,0.630000,0.260000,-0.260000,0,,,,,4.3430000,0.1700000,-0.1700000,0,,,,,,,,,,,,,,,,,,,,,,,,,,6189.00,100.00,-100.00,0,1.382000,0.263000,-0.263000,0,,,,,,,,,,4.233000,0.150000,-0.150000,0,19h23m58.85s,290.9952050,+45d11m31.88s,45.1921880,11.9950000,0.0170000,-0.0170000
Kepler-690 b,7.74809437400,0.00000763400,-0.00000763400,0,,,,,0.53082345,0.16326166,-0.06691052,0,,,,,,,,,,,,,,,,,2455007.99743100,0.00078700,-0.00078700,0,,,,,,,,,3.5631000,0.0391000,-0.0391000,0,,,,,0.04715500,0.00013700,-0.00118700,0,,,,,,,,,,,,,,,,,,5913.00,87.61,-115.89,0,1.160000,0.356000,-0.143000,0,1.110000,0.105000,-0.063000,0,0.1900,0.1340,-0.1520,0,[Fe/H],4.350000,0.098000,-0.205000,0,19h37m57.58s,294.4899225,+39d46m17.31s,39.7714758,14.1060000,0.0740000,-0.0740000
TOI-1248 b,4.36015610000,0.00000110000,-0.00000110000,0,0.0510000000,0.0010000000,-0.0010000000,0,0.60741347,0.01041272,-0.01073043,0,0.08621004,0.01132687,-0.01101223,0,0.470000,0.100000,-0.120000,0,0.000000,,,0,,,,,2458687.12116000,0.00016000,-0.00016000,0,0.595805,0.028499,-0.035674,0,,,,,2.3141338,0.0126430,-0.0133882,0,,,,,0.07186602,0.00054582,-0.00062317,0,,,,,90.0000,,,0,,,,,,,,,,5205.00,56.00,-62.00,0,0.868600,0.013300,-0.013400,0,0.904200,0.027300,-0.027500,0,0.2230,0.0570,-0.0560,0,[Fe/H],4.515000,0.022000,-0.022000,0,17h16m05.66s,259.0235918,+63d06m20.19s,63.1056072,9.8700000,0.0160000,-0.0160000
TOI-4773 b,1.74528510000,0.00000140000,-0.00000140000,0,0.0321600000,0.0006000000,-0.0005600000,0,1.35800000,0.04900000,-0.04800000,0,5.31000000,0.35000000,-0.34000000,0,2.630000,0.330000,-0.290000,0,0.024000,0.027000,-0.017000,0,78.64000,0.61000,-0.56000,0,2459673.53995000,0.00028000,-0.00028000,0,0.885700,0.006600,-0.007200,0,0.75100000,0.02300000,-0.02200000,0,1.9608000,0.0288000,-0.0288000,0,4.460000,0.140000,-0.130000,0,0.09010000,0.00140000,-0.00140000,0,,,,,-113.0000,87.0000,-100.0000,0,,,,,,,,,,6740.00,250.00,-200.00,0,1.550000,0.046000,-0.046000,0,1.452000,0.082000,-0.075000,0,0.1100,0.1400,-0.1200,0,[Fe/H],4.220000,0.029000,-0.028000,0,07h39m46.24s,114.9426489,-21d29m08.23s,-21.4856184,10.7150000,0.0210000,-0.0210000
Kepler-1898 b,4.76562023200,,,0,,,,,0.08328458,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5702.00,189.00,-172.00,0,1.125000,0.347000,-0.284000,0,0.837000,0.130000,-0.070000,0,-0.2800,0.3000,-0.3000,0,[Fe/H],4.258000,0.253000,-0.207000,0,19h08m49.39s,287.2058009,+38d29m53.49s,38.4981903,11.5320000,0.0210000,-0.0210000
