pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_kmag,sy_kmagerr1,sy_kmagerr2,oblateness_input_tier,pl_ratdor_source,pl_ratror_source,keyparams_row_index,tier_a_legacy_row_index,injection_batch_578_completed
TOI-4010 b,1.34833500000,0.00000300000,-0.00000200000,0,0.0229000000,0.0002000000,-0.0002000000,0,0.26942682,0.00713713,-0.00713713,0,0.03460987,0.00405879,-0.00399587,0,2.200000,0.300000,-0.300000,0,0.030000,0.030000,-0.020000,0,88.10000,1.20000,-1.10000,0,2459007.54900000,0.00100000,-0.00100000,0,0.190000,0.120000,-0.130000,0,,,,,1.7700000,0.0300000,-0.0300000,0,5.932814897416315,0,0,0,0.03300000,0.00100000,-0.00100000,0,,,,,0.0000,155.0000,-149.0000,0,,,,,,,,,K V,4960.00,36.00,-36.00,0,0.830000,0.010000,-0.010000,0,0.880000,0.030000,-0.030000,0,0.3700,0.0700,-0.0700,0,[Fe/H],4.540000,0.020000,-0.020000,0,01h20m51.56s,20.2148196,+66d04m19.92s,66.0722009,10.1570000,0.0210000,-0.0210000,B_derived_geometry,derived_orbsmax_st_rad,archive,0,-1,0
KOI-1257 b,86.64766100000,0.00003400000,-0.00003400000,0,0.3820000000,0.0060000000,-0.0060000000,0,0.94000000,0.12000000,-0.12000000,0,1.45000000,0.35000000,-0.35000000,0,2.100000,1.200000,-1.200000,0,0.772000,0.045000,-0.045000,0,89.66000,0.24000,-0.38000,0,2455006.79454000,0.00030000,-0.00030000,0,,,,,,,,,,,,,72.6922862532294,0,0,0,0.0855128711007313,0,0,0,,,,,141.3000,17.0000,-17.0000,0,74.000,32.000,-46.000,0,,,,,G5 V,5520.00,80.00,-80.00,0,1.130000,0.140000,-0.140000,0,0.990000,0.050000,-0.050000,0,0.2700,0.0900,-0.0900,0,[Fe/H],4.320000,0.100000,-0.100000,0,19h24m54.02s,291.2250888,+44d55m38.25s,44.9272918,12.7260000,0.0230000,-0.0230000,B_derived_geometry,derived_orbsmax_st_rad,derived_rade_st_rad,5,-1,0
KELT-1 b,1.21751400000,0.00001500000,-0.00001500000,0,0.0246600000,0.0001600000,-0.0001600000,0,1.11000000,0.03200000,-0.02200000,0,27.23000000,0.50000000,-0.48000000,0,24.700000,1.400000,-1.900000,0,0.009900,0.010000,-0.006900,0,87.80000,1.30000,-1.90000,0,2455914.16280000,0.00230000,-0.00220000,0,,,,,0.60860000,0.00940000,-0.00890000,0,2.7645600,0.0158400,-0.0139200,0,3.604821861886951,0,0,0,0.0775437581171393,0,0,0,2455914.07000000,0.24000000,-0.26000000,0,61.0000,71.0000,-79.0000,0,2.000,16.000,-16.000,0,,,,,,6516.00,49.00,-49.00,0,1.471000,0.045000,-0.035000,0,1.335000,0.063000,-0.063000,0,0.0520,0.0790,-0.0790,0,[Fe/H],4.228000,0.014000,-0.021000,0,00h01m26.90s,0.3620995,+39d23m01.66s,39.3837953,9.4370000,0.0190000,-0.0190000,B_derived_geometry,derived_orbsmax_st_rad,derived_rade_st_rad,79,-1,0
WASP-139 b,5.92426200000,0.00000400000,-0.00000400000,0,0.0620000000,0.0020000000,-0.0020000000,0,0.80000000,0.05000000,-0.05000000,0,0.11700000,0.01700000,-0.01700000,0,0.310000,0.050000,-0.050000,0,0.000000,,,0,88.90000,0.50000,-0.50000,0,2457196.79330000,0.00030000,-0.00030000,0,0.330000,0.140000,-0.140000,0,1.07000000,0.03000000,-0.03000000,0,2.8320000,0.0240000,-0.0240000,0,16.66499206446744,0,0,0,0.1027628617220066,0,0,0,,,,,,,,,,,,,,,,,K0,5310.00,90.00,-90.00,0,0.800000,0.040000,-0.040000,0,0.920000,0.100000,-0.100000,0,0.2000,0.0900,-0.0900,0,[Fe/H],4.590000,0.060000,-0.060000,0,03h18m14.92s,49.5621730,-41d18m07.28s,-41.3020235,10.4720000,0.0210000,-0.0210000,B_derived_geometry,derived_orbsmax_st_rad,derived_rade_st_rad,101,-1,0
TOI-700 e,27.80978000000,0.00046000000,-0.00040000000,0,0.1340000000,0.0022000000,-0.0022000000,0,0.08502111,0.00794006,-0.00669106,0,,,,,,,,,0.059000,0.057000,-0.042000,0,89.60000,0.21000,-0.16000,0,2458964.81120000,0.00580000,-0.00450000,0,0.470000,0.190000,-0.250000,0,,,,,2.7770000,0.2090000,-0.3840000,0,68.44253885950924,0,0,0,0.02080000,0.00170000,-0.00140000,0,,,,,70.0000,100.0000,-120.0000,0,,,,,,,,,M2.5 V,3459.00,65.00,-65.00,0,0.421000,0.017000,-0.015000,0,0.415000,0.021000,-0.020000,0,-0.0700,0.1100,-0.1100,0,[Fe/H],4.809000,0.034000,-0.037000,0,06h28m22.97s,97.0957165,-65d34m43.01s,-65.5786149,8.6340000,0.0230000,-0.0230000,B_derived_geometry,derived_orbsmax_st_rad,archive,104,-1,0
WASP-65 b,2.31142430000,0.00000150000,-0.00000150000,0,0.0334000000,0.0016000000,-0.0017000000,0,1.11200000,0.05900000,-0.05900000,0,1.55000000,0.16000000,-0.16000000,0,1.500000,0.090000,-0.110000,0,0.000000,,,0,88.80000,0.80000,-0.70000,0,2456110.68772000,0.00015000,-0.00015000,0,0.149000,0.082000,-0.095000,0,1.28000000,0.01500000,-0.01500000,0,2.7350400,0.0108000,-0.0108000,0,7.110964355837913,0,0,0,0.1131371898380006,0,0,0,,,,,,,,,,,,,,,,,G6,5600.00,100.00,-100.00,0,1.010000,0.050000,-0.050000,0,0.930000,0.140000,-0.140000,0,-0.0700,0.0700,-0.0700,0,[Fe/H],4.400000,0.020000,-0.020000,0,08h53m17.83s,133.3242982,+08d31m22.86s,8.5230171,10.3460000,0.0210000,-0.0210000,B_derived_geometry,derived_orbsmax_st_rad,derived_rade_st_rad,157,-1,0
WASP-75 b,2.48419300000,0.00000300000,-0.00000300000,0,0.0375000000,0.0007000000,-0.0008000000,0,1.27000000,0.04800000,-0.04800000,0,1.07000000,0.05000000,-0.05000000,0,0.690000,0.080000,-0.070000,0,0.000000,,,0,82.00000,0.30000,-0.20000,0,2456016.26690000,0.00030000,-0.00030000,0,0.882000,0.006000,-0.008000,0,1.07000000,0.03000000,-0.03000000,0,1.9728000,0.0264000,-0.0264000,0,6.399766537813918,0,0,0,0.1035753112658029,0,0,0,,,,,,,,,,,,,,,,,F9,6100.00,100.00,-100.00,0,1.260000,0.040000,-0.040000,0,1.140000,0.070000,-0.070000,0,0.0700,0.0900,-0.0900,0,[Fe/H],4.290000,0.020000,-0.020000,0,22h49m32.62s,342.3858995,-10d40m31.69s,-10.6754686,10.0620000,0.0250000,-0.0250000,B_derived_geometry,derived_orbsmax_st_rad,derived_rade_st_rad,158,-1,0
TOI-4552 b,0.30110032000,0.00000014000,-0.00000014000,0,0.0056255000,0.0000003000,-0.0000003000,0,0.09902774,0.00356857,-0.00356857,0,0.00575782,0.00147879,-0.00147879,0,7.740000,2.140000,-2.140000,0,0.000000,,,0,87.77000,1.94000,-1.90000,0,2459361.88587913,0.00024681,-0.00024681,0,0.160000,0.120000,-0.110000,0,0.12580000,0.00550000,-0.00550000,0,,,,,4.216324125913788,0,0,0,0.03520000,0.00090000,-0.00090000,0,,,,,90.0000,,,0,,,,,,,,,M4.5 V,3258.00,115.00,-115.00,0,0.286900,0.008800,-0.008800,0,0.261900,0.006300,-0.006300,0,-0.0700,0.0900,-0.0900,0,[Fe/H],4.940000,0.028000,-0.028000,0,17h38m51.42s,264.7142556,-47d38m13.36s,-47.6370457,9.3950010,0.0200000,-0.0200000,B_derived_geometry,derived_orbsmax_st_rad,archive,186,-1,0
TOI-4127 b,56.39879000000,0.00010000000,-0.00010000000,0,0.3081000000,0.0055000000,-0.0058000000,0,1.09600000,0.03900000,-0.03200000,0,2.30000000,0.11000000,-0.11000000,0,2.170000,0.220000,-0.240000,0,0.747100,0.007800,-0.008600,0,89.30000,0.46000,-0.60000,0,2458862.72816000,0.00096000,-0.00100000,0,0.170000,0.140000,-0.110000,0,0.74600000,0.02500000,-0.02700000,0,,,,,51.23852062033699,0,0,0,0.08710587977299178,0,0,0,,,,,129.6000,2.0000,-2.0000,0,,,,,,,,,F V,6096.00,115.00,-115.00,0,1.293000,0.050000,-0.050000,0,1.230000,0.070000,-0.070000,0,0.1400,0.1200,-0.1200,0,[Fe/H],4.260000,0.140000,-0.140000,0,07h01m37.09s,105.4045516,+72d24m53.75s,72.4149297,10.2450000,0.0160000,-0.0160000,B_derived_geometry,derived_orbsmax_st_rad,derived_rade_st_rad,229,-1,0
TOI-2525 b,23.28560000000,0.00170000000,-0.00170000000,0,0.1511000000,0.0020000000,-0.0020000000,0,0.77400000,0.01000000,-0.01000000,0,0.08400000,0.00500000,-0.00500000,0,0.225000,0.015000,-0.014000,0,0.170000,0.011000,-0.010000,0,89.50000,0.07000,-0.07000,0,2458333.52890000,0.00200000,-0.00200000,0,,,,,,,,,4.0500000,0.0700000,-0.0700000,0,41.39026588766847,0,0,0,0.10130000,0.00080000,-0.00080000,0,,,,,345.9000,0.8000,-0.8000,0,,,,,,,,,K8 V,5096.00,102.00,-102.00,0,0.785000,0.031000,-0.031000,0,0.849000,0.042000,-0.042000,0,0.1400,0.0500,-0.0500,0,[Fe/H],4.580000,0.200000,-0.200000,0,05h47m24.23s,86.8509737,-60d31m16.71s,-60.5213081,11.9050000,0.0240000,-0.0240000,B_derived_geometry,derived_orbsmax_st_rad,archive,231,-1,0
