row_index,pl_name,n_clean,n_degenerate,n_failed,figure_path,npz_path,error
116,TOI-559 b,0,132,3,results/multi_system/_chunks/chunk_04/status_row0116_TOI-559_b.png,results/multi_system/_chunks/chunk_04/batch_row0116_TOI-559_b.npz,
117,TOI-2406 b,0,130,5,results/multi_system/_chunks/chunk_04/status_row0117_TOI-2406_b.png,results/multi_system/_chunks/chunk_04/batch_row0117_TOI-2406_b.npz,
118,TOI-6034 b,116,16,3,results/multi_system/_chunks/chunk_04/status_row0118_TOI-6034_b.png,results/multi_system/_chunks/chunk_04/batch_row0118_TOI-6034_b.npz,
119,K2-138 b,0,129,6,results/multi_system/_chunks/chunk_04/status_row0119_K2-138_b.png,results/multi_system/_chunks/chunk_04/batch_row0119_K2-138_b.npz,
120,TOI-4201 b,113,21,1,results/multi_system/_chunks/chunk_04/status_row0120_TOI-4201_b.png,results/multi_system/_chunks/chunk_04/batch_row0120_TOI-4201_b.npz,
121,TOI-500 b,0,133,2,results/multi_system/_chunks/chunk_04/status_row0121_TOI-500_b.png,results/multi_system/_chunks/chunk_04/batch_row0121_TOI-500_b.npz,
122,TOI-2018 b,0,133,2,results/multi_system/_chunks/chunk_04/status_row0122_TOI-2018_b.png,results/multi_system/_chunks/chunk_04/batch_row0122_TOI-2018_b.npz,
123,TOI-5882 b,0,130,5,results/multi_system/_chunks/chunk_04/status_row0123_TOI-5882_b.png,results/multi_system/_chunks/chunk_04/batch_row0123_TOI-5882_b.npz,
124,HAT-P-39 b,0,128,7,results/multi_system/_chunks/chunk_04/status_row0124_HAT-P-39_b.png,results/multi_system/_chunks/chunk_04/batch_row0124_HAT-P-39_b.npz,
125,HD 109833 c,0,133,2,results/multi_system/_chunks/chunk_04/status_row0125_HD_109833_c.png,results/multi_system/_chunks/chunk_04/batch_row0125_HD_109833_c.npz,
126,HAT-P-44 b,69,62,4,results/multi_system/_chunks/chunk_04/status_row0126_HAT-P-44_b.png,results/multi_system/_chunks/chunk_04/batch_row0126_HAT-P-44_b.npz,
127,TOI-5232 b,0,133,2,results/multi_system/_chunks/chunk_04/status_row0127_TOI-5232_b.png,results/multi_system/_chunks/chunk_04/batch_row0127_TOI-5232_b.npz,
128,NGTS-31 b,19,114,2,results/multi_system/_chunks/chunk_04/status_row0128_NGTS-31_b.png,results/multi_system/_chunks/chunk_04/batch_row0128_NGTS-31_b.npz,
129,NGTS-8 b,47,83,5,results/multi_system/_chunks/chunk_04/status_row0129_NGTS-8_b.png,results/multi_system/_chunks/chunk_04/batch_row0129_NGTS-8_b.npz,
130,Qatar-9 b,32,97,6,results/multi_system/_chunks/chunk_04/status_row0130_Qatar-9_b.png,results/multi_system/_chunks/chunk_04/batch_row0130_Qatar-9_b.npz,
131,KOI-94 e,0,134,1,results/multi_system/_chunks/chunk_04/status_row0131_KOI-94_e.png,results/multi_system/_chunks/chunk_04/batch_row0131_KOI-94_e.npz,
132,NGTS-9 b,37,96,2,results/multi_system/_chunks/chunk_04/status_row0132_NGTS-9_b.png,results/multi_system/_chunks/chunk_04/batch_row0132_NGTS-9_b.npz,
133,Kepler-447 b,0,0,135,results/multi_system/_chunks/chunk_04/status_row0133_Kepler-447_b.png,results/multi_system/_chunks/chunk_04/batch_row0133_Kepler-447_b.npz,
134,HD 15906 b,0,135,0,results/multi_system/_chunks/chunk_04/status_row0134_HD_15906_b.png,results/multi_system/_chunks/chunk_04/batch_row0134_HD_15906_b.npz,
135,NGTS-4 b,0,132,3,results/multi_system/_chunks/chunk_04/status_row0135_NGTS-4_b.png,results/multi_system/_chunks/chunk_04/batch_row0135_NGTS-4_b.npz,
136,HD 260655 c,0,133,2,results/multi_system/_chunks/chunk_04/status_row0136_HD_260655_c.png,results/multi_system/_chunks/chunk_04/batch_row0136_HD_260655_c.npz,
137,WASP-155 b,25,106,4,results/multi_system/_chunks/chunk_04/status_row0137_WASP-155_b.png,results/multi_system/_chunks/chunk_04/batch_row0137_WASP-155_b.npz,
138,HAT-P-46 b,0,132,3,results/multi_system/_chunks/chunk_04/status_row0138_HAT-P-46_b.png,results/multi_system/_chunks/chunk_04/batch_row0138_HAT-P-46_b.npz,
139,TOI-6330 b,112,21,2,results/multi_system/_chunks/chunk_04/status_row0139_TOI-6330_b.png,results/multi_system/_chunks/chunk_04/batch_row0139_TOI-6330_b.npz,
140,K2-30 b,20,113,2,results/multi_system/_chunks/chunk_04/status_row0140_K2-30_b.png,results/multi_system/_chunks/chunk_04/batch_row0140_K2-30_b.npz,
141,XO-6 b,4,129,2,results/multi_system/_chunks/chunk_04/status_row0141_XO-6_b.png,results/multi_system/_chunks/chunk_04/batch_row0141_XO-6_b.npz,
142,KELT-4 A b,8,125,2,results/multi_system/_chunks/chunk_04/status_row0142_KELT-4_A_b.png,results/multi_system/_chunks/chunk_04/batch_row0142_KELT-4_A_b.npz,
143,TOI-125 b,0,133,2,results/multi_system/_chunks/chunk_04/status_row0143_TOI-125_b.png,results/multi_system/_chunks/chunk_04/batch_row0143_TOI-125_b.npz,
144,Qatar-4 b,70,62,3,results/multi_system/_chunks/chunk_04/status_row0144_Qatar-4_b.png,results/multi_system/_chunks/chunk_04/batch_row0144_Qatar-4_b.npz,
