row_index,pl_name,n_clean,n_degenerate,n_failed,figure_path,npz_path,error
34,TOI-564 b,0,131,4,results/multi_system/_chunks_tierb/chunk_02/status_row0034_TOI-564_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0034_TOI-564_b.npz,
35,WASP-141 b,0,133,2,results/multi_system/_chunks_tierb/chunk_02/status_row0035_WASP-141_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0035_WASP-141_b.npz,
36,TOI-1062 b,0,130,5,results/multi_system/_chunks_tierb/chunk_02/status_row0036_TOI-1062_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0036_TOI-1062_b.npz,
37,HD 219134 b,0,128,7,results/multi_system/_chunks_tierb/chunk_02/status_row0037_HD_219134_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0037_HD_219134_b.npz,
38,HD 219134 c,0,133,2,results/multi_system/_chunks_tierb/chunk_02/status_row0038_HD_219134_c.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0038_HD_219134_c.npz,
39,TOI-5076 b,0,130,5,results/multi_system/_chunks_tierb/chunk_02/status_row0039_TOI-5076_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0039_TOI-5076_b.npz,
40,CoRoT-12 b,65,67,3,results/multi_system/_chunks_tierb/chunk_02/status_row0040_CoRoT-12_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0040_CoRoT-12_b.npz,
41,WASP-190 b,0,134,1,results/multi_system/_chunks_tierb/chunk_02/status_row0041_WASP-190_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0041_WASP-190_b.npz,
42,WASP-150 b,0,133,2,results/multi_system/_chunks_tierb/chunk_02/status_row0042_WASP-150_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0042_WASP-150_b.npz,
43,Kepler-10 b,0,132,3,results/multi_system/_chunks_tierb/chunk_02/status_row0043_Kepler-10_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0043_Kepler-10_b.npz,
44,TOI-700 b,0,133,2,results/multi_system/_chunks_tierb/chunk_02/status_row0044_TOI-700_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0044_TOI-700_b.npz,
45,L 98-59 b,0,133,2,results/multi_system/_chunks_tierb/chunk_02/status_row0045_L_98-59_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0045_L_98-59_b.npz,
46,TOI-3837 b,0,133,2,results/multi_system/_chunks_tierb/chunk_02/status_row0046_TOI-3837_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0046_TOI-3837_b.npz,
47,WASP-180 A b,36,98,1,results/multi_system/_chunks_tierb/chunk_02/status_row0047_WASP-180_A_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0047_WASP-180_A_b.npz,
48,TOI-2328 b,0,133,2,results/multi_system/_chunks_tierb/chunk_02/status_row0048_TOI-2328_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0048_TOI-2328_b.npz,
49,TOI-905 b,87,46,2,results/multi_system/_chunks_tierb/chunk_02/status_row0049_TOI-905_b.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0049_TOI-905_b.npz,
50,TOI-776 c,0,131,4,results/multi_system/_chunks_tierb/chunk_02/status_row0050_TOI-776_c.png,results/multi_system/_chunks_tierb/chunk_02/batch_row0050_TOI-776_c.npz,
