row_index,pl_name,n_clean,n_degenerate,n_failed,figure_path,npz_path,error
0,TOI-2384 b,93,40,2,results/multi_system/_chunks/chunk_00/status_row0000_TOI-2384_b.png,results/multi_system/_chunks/chunk_00/batch_row0000_TOI-2384_b.npz,
1,HAT-P-28 b,46,86,3,results/multi_system/_chunks/chunk_00/status_row0001_HAT-P-28_b.png,results/multi_system/_chunks/chunk_00/batch_row0001_HAT-P-28_b.npz,
2,TOI-4773 b,30,103,2,results/multi_system/_chunks/chunk_00/status_row0002_TOI-4773_b.png,results/multi_system/_chunks/chunk_00/batch_row0002_TOI-4773_b.npz,
3,Kepler-33 c,0,133,2,results/multi_system/_chunks/chunk_00/status_row0003_Kepler-33_c.png,results/multi_system/_chunks/chunk_00/batch_row0003_Kepler-33_c.npz,
4,CoRoT-23 b,0,134,1,results/multi_system/_chunks/chunk_00/status_row0004_CoRoT-23_b.png,results/multi_system/_chunks/chunk_00/batch_row0004_CoRoT-23_b.npz,
5,Kepler-33 f,0,133,2,results/multi_system/_chunks/chunk_00/status_row0005_Kepler-33_f.png,results/multi_system/_chunks/chunk_00/batch_row0005_Kepler-33_f.npz,
6,CoRoT-28 b,0,130,5,results/multi_system/_chunks/chunk_00/status_row0006_CoRoT-28_b.png,results/multi_system/_chunks/chunk_00/batch_row0006_CoRoT-28_b.npz,
7,HAT-P-38 b,0,126,9,results/multi_system/_chunks/chunk_00/status_row0007_HAT-P-38_b.png,results/multi_system/_chunks/chunk_00/batch_row0007_HAT-P-38_b.npz,
8,Kepler-1859 c,0,133,2,results/multi_system/_chunks/chunk_00/status_row0008_Kepler-1859_c.png,results/multi_system/_chunks/chunk_00/batch_row0008_Kepler-1859_c.npz,
9,HD 202772 A b,0,132,3,results/multi_system/_chunks/chunk_00/status_row0009_HD_202772_A_b.png,results/multi_system/_chunks/chunk_00/batch_row0009_HD_202772_A_b.npz,
10,HAT-P-32 b,66,64,5,results/multi_system/_chunks/chunk_00/status_row0010_HAT-P-32_b.png,results/multi_system/_chunks/chunk_00/batch_row0010_HAT-P-32_b.npz,
11,XO-3 b,0,131,4,results/multi_system/_chunks/chunk_00/status_row0011_XO-3_b.png,results/multi_system/_chunks/chunk_00/batch_row0011_XO-3_b.npz,
12,TOI-6894 b,130,0,5,results/multi_system/_chunks/chunk_00/status_row0012_TOI-6894_b.png,results/multi_system/_chunks/chunk_00/batch_row0012_TOI-6894_b.npz,
13,K2-3 b,0,133,2,results/multi_system/_chunks/chunk_00/status_row0013_K2-3_b.png,results/multi_system/_chunks/chunk_00/batch_row0013_K2-3_b.npz,
14,TOI-5616 b,78,55,2,results/multi_system/_chunks/chunk_00/status_row0014_TOI-5616_b.png,results/multi_system/_chunks/chunk_00/batch_row0014_TOI-5616_b.npz,
15,HD 114082 b,0,99,36,results/multi_system/_chunks/chunk_00/status_row0015_HD_114082_b.png,results/multi_system/_chunks/chunk_00/batch_row0015_HD_114082_b.npz,
16,TOI-2134 b,0,130,5,results/multi_system/_chunks/chunk_00/status_row0016_TOI-2134_b.png,results/multi_system/_chunks/chunk_00/batch_row0016_TOI-2134_b.npz,
17,LTT 9779 b,0,129,6,results/multi_system/_chunks/chunk_00/status_row0017_LTT_9779_b.png,results/multi_system/_chunks/chunk_00/batch_row0017_LTT_9779_b.npz,
18,K2-290 b,0,132,3,results/multi_system/_chunks/chunk_00/status_row0018_K2-290_b.png,results/multi_system/_chunks/chunk_00/batch_row0018_K2-290_b.npz,
19,WASP-77 A b,0,101,34,results/multi_system/_chunks/chunk_00/status_row0019_WASP-77_A_b.png,results/multi_system/_chunks/chunk_00/batch_row0019_WASP-77_A_b.npz,
20,TOI-7510 d,0,133,2,results/multi_system/_chunks/chunk_00/status_row0020_TOI-7510_d.png,results/multi_system/_chunks/chunk_00/batch_row0020_TOI-7510_d.npz,
21,HAT-P-18 b,78,54,3,results/multi_system/_chunks/chunk_00/status_row0021_HAT-P-18_b.png,results/multi_system/_chunks/chunk_00/batch_row0021_HAT-P-18_b.npz,
