row_index,pl_name,n_success,n_failed,figure_path,npz_path,error
150,TOI-521 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/status_row0150_TOI-521_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/batch_row0150_TOI-521_b.npz,
151,NGTS-1 b,127,8,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/status_row0151_NGTS-1_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/batch_row0151_NGTS-1_b.npz,
152,TOI-1820 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/status_row0152_TOI-1820_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/batch_row0152_TOI-1820_b.npz,
153,K2-287 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/status_row0153_K2-287_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/batch_row0153_K2-287_b.npz,
154,HD 89345 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/status_row0154_HD_89345_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/batch_row0154_HD_89345_b.npz,
155,TOI-4406 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/status_row0155_TOI-4406_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/batch_row0155_TOI-4406_b.npz,
156,TOI-1135 b,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/status_row0156_TOI-1135_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/batch_row0156_TOI-1135_b.npz,
157,TOI-3288 b,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/status_row0157_TOI-3288_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/batch_row0157_TOI-3288_b.npz,
158,TOI-4666 b,129,6,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/status_row0158_TOI-4666_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/batch_row0158_TOI-4666_b.npz,
159,TOI-5007 b,129,6,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/status_row0159_TOI-5007_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_04/batch_row0159_TOI-5007_b.npz,
